Posicao;Clube;Rodada;Vitorias;Empates;Derrotas;Gols;SG;Pts
8;Fortaleza;21;9;5;7;25:20:00;5;32
15;Goiás;21;6;6;9;20:29;-9;24
3;Grêmio;21;11;4;6;36:29:00;7;37
14;Internacional;21;6;7;8;17:24;-7;25
2;Palmeiras;21;11;7;3;37:17:00;20;40
17;Santos;21;5;6;10;21:34;-13;21
10;São Paulo;21;7;7;7;25:21:00;4;28
18;Vasco da Gama;21;5;4;12;16:30;-14;19
19;América_MG;22;4;4;14;24:46:00;-22;16
7;Athletico_PR;22;9;7;6;32:26:00;6;34
9;Atlético_MG;22;8;7;7;25:19:00;6;31
16;Bahia;22;5;7;10;23:29;-6;22
1;Botafogo;22;16;3;3;39:13:00;26;51
6;Bragantino;22;9;9;4;29:21:00;8;36
12;Corinthians;22;6;9;7;26:27:00;-1;27
20;Coritiba;22;3;5;14;22:44;-22;14
13;Cruzeiro  ;22;6;8;8;20:20;0;26
11;Cuiabá;22;8;4;10;21:27;-6;28
4;Flamengo;22;11;6;5;36:27:00;9;39
5;Fluminense;22;11;5;6;31:22:00;9;38
8;Fortaleza;22;9;5;8;25:21:00;4;32
15;Goiás;22;6;7;9;20:29;-9;25
3;Grêmio;22;12;4;6;38:29:00;9;40
14;Internacional;22;6;8;8;17:24;-7;26
2;Palmeiras;22;11;8;3;37:17:00;20;41
17;Santos;22;5;6;11;21:36;-15;21
10;São Paulo;22;8;7;7;27:22:00;5;31
18;Vasco da Gama;22;5;5;12;17:31;-14;20
19;América_MG;23;4;5;14;26:48:00;-22;17
7;Athletico_PR;23;10;7;6;35:26:00;9;37
9;Atlético_MG;23;9;7;7;26:19:00;7;34
15;Bahia;23;6;7;10;27:31:00;-4;25
1;Botafogo;23;16;3;4;39:14:00;25;51
4;Bragantino;23;10;9;4;31:21:00;10;39
14;Corinthians;23;6;9;8;27:29:00;-2;27
20;Coritiba;23;3;5;15;24:48:00;-24;14
11;Cruzeiro  ;23;7;8;8;23:20;3;29
12;Cuiabá;23;8;5;10;23:29;-6;29
5;Flamengo;23;11;6;6;36:30:00;6;39
6;Fluminense;23;11;5;7;33:26:00;7;38
8;Fortaleza;23;10;5;8;27:22:00;5;35
16;Goiás;23;6;7;10;20:30;-10;25
3;Grêmio;23;12;4;7;38:31:00;7;40
13;Internacional;23;7;8;8;19:25;-6;29
2;Palmeiras;23;12;8;3;38:17:00;21;44
18;Santos;23;5;6;12;21:39;-18;21
10;São Paulo;23;8;7;8;28:24:00;4;31
17;Vasco da Gama;23;6;5;12;21:33;-12;23
19;América_MG;24;4;5;15;26:50:00;-24;17
6;Athletico_PR;24;11;7;6;37:27:00;10;40
9;Atlético_MG;24;10;7;7;27:19:00;8;37
17;Bahia;24;6;7;11;28:33:00;-5;25
1;Botafogo;24;16;3;5;39:15:00;24;51
4;Bragantino;24;11;9;4;33:21:00;12;42
11;Corinthians;24;7;9;8;28:29:00;-1;30
20;Coritiba;24;3;5;16;25:53:00;-28;14
12;Cruzeiro  ;24;7;8;9;23:21;2;29
13;Cuiabá;24;8;5;11;23:30;-7;29
7;Flamengo;24;11;7;6;36:30:00;6;40
5;Fluminense;24;12;5;7;34:26:00;8;41
8;Fortaleza;24;11;5;8;29:23:00;6;38
16;Goiás;24;6;8;10;20:30;-10;26
3;Grêmio;24;13;4;7;39:31:00;8;43
14;Internacional;24;7;8;9;20:27;-7;29
2;Palmeiras;24;12;8;4;38:18:00;20;44
18;Santos;24;6;6;12;23:40;-17;24
10;São Paulo;24;8;7;9;29:26:00;3;31
15;Vasco da Gama;24;7;5;12;26:34:00;-8;26
19;América_MG;25;4;6;15;27:51:00;-24;18
8;Athletico_PR;25;11;7;7;37:29:00;8;40
7;Atlético_MG;25;11;7;7;29:19:00;10;40
18;Bahia;25;6;7;12;28:34:00;-6;25
1;Botafogo;25;16;4;5;40:16:00;24;52
2;Bragantino;25;12;9;4;35:22:00;13;45
13;Corinthians;25;7;9;9;29:31:00;-2;30
20;Coritiba;25;4;5;16;27:53:00;-26;17
12;Cruzeiro  ;25;7;9;9;24:22:00;2;30
11;Cuiabá;25;9;5;11;26:30:00;-4;32
5;Flamengo;25;12;7;6;37:30:00;7;43
6;Fluminense;25;12;5;8;34:29:00;5;41
9;Fortaleza;25;11;6;8;30:24:00;6;39
15;Goiás;25;6;9;10;21:31;-10;27
4;Grêmio;25;13;5;7;40:32:00;8;44
14;Internacional;25;7;8;10;20:29;-9;29
3;Palmeiras;25;12;8;5;39:20:00;19;44
16;Santos;25;7;6;12;27:41:00;-14;27
10;São Paulo;25;9;7;9;31:27:00;4;34
17;Vasco da Gama;25;7;5;13;27:38:00;-11;26
20;América_MG;26;4;6;16;29:54:00;-25;18
7;Athletico_PR;26;11;8;7;38:30:00;8;41
9;Atlético_MG;26;11;7;8;30:21:00;9;40
16;Bahia;26;7;7;12;34:38:00;-4;28
1;Botafogo;26;17;4;5;42:16:00;26;55
2;Bragantino;26;12;10;4;36:23:00;13;46
14;Corinthians;26;7;10;9;30:32:00;-2;31
19;Coritiba;26;5;5;16;29:54:00;-25;20
13;Cruzeiro  ;26;7;10;9;24:22:00;2;31
11;Cuiabá;26;9;6;11;26:30:00;-4;33
5;Flamengo;26;12;8;6;38:31:00;7;44
8;Fluminense;26;12;5;9;34:31:00;3;41
6;Fortaleza;26;12;6;8;33:26:00;7;42
18;Goiás;26;6;9;11;25:37:00;-12;27
4;Grêmio;26;13;5;8;42:35:00;7;44
12;Internacional;26;8;8;10;23:31;-8;32
3;Palmeiras;26;12;8;6;40:22:00;18;44
15;Santos;26;8;6;12;29:42:00;-13;30
10;São Paulo;26;9;8;9;31:27:00;4;35
17;Vasco da Gama;26;7;6;13;27:38:00;-11;27
20;América_MG;27;4;6;17;30:56:00;-26;18
5;Athletico_PR;27;12;8;7;40:31:00;9;44
7;Atlético_MG;27;12;7;8;32:21:00;11;43
15;Bahia;27;8;7;12;35:38:00;-3;31
1;Botafogo;27;18;4;5;44:17:00;27;58
2;Bragantino;27;13;10;4;39:24:00;15;49
12;Corinthians;27;7;11;9;33:35:00;-2;32
19;Coritiba;27;5;5;17;29:57:00;-28;20
14;Cruzeiro  ;27;7;10;10;24:24:00;0;31
10;Cuiabá;27;10;6;11;29:30:00;-1;36
3;Flamengo;27;13;8;6;40:31:00;9;47
9;Fluminense;27;12;6;9;37:34:00;3;42
8;Fortaleza;27;12;6;9;33:27:00;6;42
17;Goiás;27;7;9;11;27:37:00;-10;30
6;Grêmio;27;13;5;9;43:37:00;6;44
13;Internacional;27;8;8;11;23:32;-9;32
4;Palmeiras;27;12;8;7;40:24:00;16;44
18;Santos;27;8;6;13;30:45:00;-15;30
11;São Paulo;27;9;8;10;31:29:00;2;35
16;Vasco da Gama;27;8;6;13;28:38:00;-10;30
20;América_MG;28;4;7;17;31:57:00;-26;19
